countrycode,group,groupvalue,sr,indicator,grouplabel,regid,value,ss,se,country,iso2,sp_pop_totl,theme,abs
ZMB,region,2,ipa,govtsupport,Copperbelt,ZMDHS2018456002,98.290596,468,.59981817,Zambia,ZM,18384000,sp,3402163.8
ZMB,region,2,ipa,remotelearning,Copperbelt,ZMDHS2018456002,42.633228,319,2.7732611,Zambia,ZM,18384000,ed,1031376.1
ZMB,region,2,ipa,healthseeking,Copperbelt,ZMDHS2018456002,9.4623652,465,1.3587997,Zambia,ZM,18384000,hn,330095.5
ZMB,region,2,ipa,fsec,Copperbelt,ZMDHS2018456002,46.153847,338,2.7156034,Zambia,ZM,18384000,hn,1619872.6
ZMB,region,2,ipa,cashtransfer_delay,Copperbelt,ZMDHS2018456002,,3,33.333332,Zambia,ZM,18384000,sp,
ZMB,region,2,ipa,schoolreturn,Copperbelt,ZMDHS2018456002,21.407623,341,2.2245133,Zambia,ZM,18384000,ed,497544.88
ZMB,region,4,ipa,fsec,Luapula,ZMDHS2018456004,38.095238,42,7.5841246,Zambia,ZM,18384000,hn,166140.78
ZMB,region,4,ipa,schoolreturn,Luapula,ZMDHS2018456004,21.276596,47,6.0342607,Zambia,ZM,18384000,ed,68156.836
ZMB,region,4,ipa,govtsupport,Luapula,ZMDHS2018456004,92.537315,67,3.2347004,Zambia,ZM,18384000,sp,458552.5
ZMB,region,4,ipa,healthseeking,Luapula,ZMDHS2018456004,9.090909,66,3.565748,Zambia,ZM,18384000,hn,45013.023
ZMB,region,4,ipa,remotelearning,Luapula,ZMDHS2018456004,47.5,40,7.9963932,Zambia,ZM,18384000,ed,144089.31
ZMB,region,10,ipa,healthseeking,Lusaka,ZMDHS2018456005,11.428572,35,5.4563642,Zambia,ZM,18384000,hn,30008.684
ZMB,region,10,ipa,remotelearning,Lusaka,ZMDHS2018456005,44,25,10.132456,Zambia,ZM,18384000,ed,83420.125
ZMB,region,10,ipa,govtsupport,Lusaka,ZMDHS2018456005,100,37,0,Zambia,ZM,18384000,sp,273652.28
ZMB,region,10,ipa,schoolreturn,Lusaka,ZMDHS2018456005,21.875,32,7.4248586,Zambia,ZM,18384000,ed,47709.781
ZMB,region,10,ipa,fsec,Lusaka,ZMDHS2018456005,,22,9.7185907,Zambia,ZM,18384000,hn,
ZMB,region,7,ipa,govtsupport,North-Western,ZMDHS2018456007,100,40,0,Zambia,ZM,18384000,sp,295840.34
ZMB,region,7,ipa,healthseeking,North-Western,ZMDHS2018456007,10,40,4.8038445,Zambia,ZM,18384000,hn,30008.682
ZMB,region,7,ipa,remotelearning,North-Western,ZMDHS2018456007,32.14286,28,8.9878979,Zambia,ZM,18384000,ed,68252.836
ZMB,region,7,ipa,fsec,North-Western,ZMDHS2018456007,46.42857,28,9.5979261,Zambia,ZM,18384000,hn,134989.39
ZMB,region,7,ipa,schoolreturn,North-Western,ZMDHS2018456007,15.151512,33,6.3383336,Zambia,ZM,18384000,ed,34078.41
ZMB,region,8,ipa,schoolreturn,Southern,ZMDHS2018456008,20.833336,48,5.9238172,Zambia,ZM,18384000,ed,68156.844
ZMB,region,8,ipa,govtsupport,Southern,ZMDHS2018456008,96.491226,57,2.4588242,Zambia,ZM,18384000,sp,406780.41
ZMB,region,8,ipa,fsec,Southern,ZMDHS2018456008,44.186047,43,7.6628323,Zambia,ZM,18384000,hn,197292.19
ZMB,region,8,ipa,remotelearning,Southern,ZMDHS2018456008,51.162792,43,7.7130809,Zambia,ZM,18384000,ed,166840.27
ZMB,region,8,ipa,healthseeking,Southern,ZMDHS2018456008,10.526316,57,4.1010194,Zambia,ZM,18384000,hn,45013.023
ZMB,region,9,ipa,fsec,Western,ZMDHS2018456009,50,70,6.0192928,Zambia,ZM,18384000,hn,363432.97
ZMB,region,9,ipa,cashtransfer_delay,Western,ZMDHS2018456009,,2,0,Zambia,ZM,18384000,sp,
ZMB,region,9,ipa,healthseeking,Western,ZMDHS2018456009,11.235955,89,3.3665278,Zambia,ZM,18384000,hn,75021.711
ZMB,region,9,ipa,remotelearning,Western,ZMDHS2018456009,41.53846,65,6.159853,Zambia,ZM,18384000,ed,204758.47
ZMB,region,9,ipa,govtsupport,Western,ZMDHS2018456009,98.888885,90,1.1111112,Zambia,ZM,18384000,sp,658244.63
ZMB,region,9,ipa,schoolreturn,Western,ZMDHS2018456009,20,70,4.815434,Zambia,ZM,18384000,ed,95419.57
ZMB,region,6,ipa,schoolreturn,Northern,ZMDHS2018456010,24,25,8.7177982,Zambia,ZM,18384000,ed,40894.102
ZMB,region,6,ipa,govtsupport,Northern,ZMDHS2018456010,94.285713,35,3.980746,Zambia,ZM,18384000,sp,244068.25
ZMB,region,6,ipa,healthseeking,Northern,ZMDHS2018456010,11.764706,34,5.6086035,Zambia,ZM,18384000,hn,30008.684
ZMB,region,6,ipa,fsec,Northern,ZMDHS2018456010,52,25,10.198039,Zambia,ZM,18384000,hn,134989.39
ZMB,region,6,ipa,remotelearning,Northern,ZMDHS2018456010,,23,10.649956,Zambia,ZM,18384000,ed,
ZMB,region,5,ipa,healthseeking,Muchinga,ZMDHS2018456011,6.25,32,4.3475523,Zambia,ZM,18384000,hn,15004.341
ZMB,region,5,ipa,schoolreturn,Muchinga,ZMDHS2018456011,,23,7.1801987,Zambia,ZM,18384000,ed,
ZMB,region,5,ipa,remotelearning,Muchinga,ZMDHS2018456011,,20,11.23903,Zambia,ZM,18384000,ed,
ZMB,region,5,ipa,govtsupport,Muchinga,ZMDHS2018456011,96.875,32,3.125,Zambia,ZM,18384000,sp,229276.23
ZMB,region,5,ipa,fsec,Muchinga,ZMDHS2018456011,,23,10.649956,Zambia,ZM,18384000,hn,
ZMB,region,3,ipa,schoolreturn,Eastern,ZMDHS2018456012,22.800003,250,2.6587431,Zambia,ZM,18384000,ed,388494.03
ZMB,region,3,ipa,cashtransfer_delay,Eastern,ZMDHS2018456012,,7,18.442778,Zambia,ZM,18384000,sp,
ZMB,region,3,ipa,fsec,Eastern,ZMDHS2018456012,55.601658,241,3.2071674,Zambia,ZM,18384000,hn,1391429
ZMB,region,3,ipa,healthseeking,Eastern,ZMDHS2018456012,9.0361443,332,1.5758396,Zambia,ZM,18384000,hn,225065.13
ZMB,region,3,ipa,govtsupport,Eastern,ZMDHS2018456012,97.916664,336,.78034258,Zambia,ZM,18384000,sp,2433286.5
ZMB,region,3,ipa,remotelearning,Eastern,ZMDHS2018456012,42.272728,220,3.3380942,Zambia,ZM,18384000,ed,705279.25
