countrycode,group,groupvalue,sr,round,indicator,grouplabel,regid,value,ss,se,month,year,disagreggation,last,country,iso2,sp_pop_totl,regioncode,regionname,theme,abs
NGA,all,,wb,1,remotelearning,National average,,38.181976,1464,1.2701781,4,2020,1,,Nigeria,NG,206140000,SSF,Sub-Saharan Africa,ed,40706308
VNM,location,1,wb,1,schoolreturn,Urban,,1.3522263,1008,.36395952,,,1,1,Vietnam,VN,97339000,EAS,East Asia and Pacific,ed,74510.688
HND,all,,wb_dashboard,3,govtsupport,National average,,88.847939,521,,8,2020,0,1,Honduras,HN,9905000,LCN,Latin America and Caribbean,sp,3246462
PHL,wealth,5,ipa,1,cashtransfer_delay,Richest 20%,,34.042553,47,6.9865708,,,1,1,Philippines,PH,109581000,EAS,East Asia and Pacific,sp,4905235.5
BFA,location,2,wb,3,fsec,Rural,,57.985237,556,2.0951407,,,1,1,Burkina Faso,BF,20903000,SSF,Sub-Saharan Africa,hn,2432890.8
PHL,location,2,ipa,1,schoolreturn,Rural,,22.744362,532,1.8190922,,,1,1,Philippines,PH,109581000,EAS,East Asia and Pacific,ed,4218868
MEX,wealth,1,ipa,1,healthseeking,Poorest 20%,,29.588015,267,2.7985971,,,1,1,Mexico,MX,128933000,LCN,Latin America and Caribbean,hn,2389819.8
IND,location,1,yl,1,remotelearning,Urban,,60.822899,559,2.0664866,,,1,1,India (Andhra Pradesh & Telangana),IN,1380004000,SAS,South Asia,ed,60658704
IND,location,1,yl,1,schoolreturn,Urban,,19.205299,453,1.8528179,,,1,1,India (Andhra Pradesh & Telangana),IN,1380004000,SAS,South Asia,ed,16584611
IND,location,2,yl,1,remotelearning,Rural,,80.242912,1235,1.1334627,,,1,1,India (Andhra Pradesh & Telangana),IN,1380004000,SAS,South Asia,ed,176802288
IND,poor,0,yl,1,remotelearning,Non poor,,63.78653,787,1.7143058,,,1,1,India (Andhra Pradesh & Telangana),IN,1380004000,SAS,South Asia,ed,89560792
IND,poor,1,yl,1,schoolreturn,Poor,,20.630081,984,1.2906297,,,1,1,India (Andhra Pradesh & Telangana),IN,1380004000,SAS,South Asia,ed,38697420
IND,poor,1,yl,1,fsec,Poor,,19.617189,13218,.34540892,,,1,1,India (Andhra Pradesh & Telangana),IN,1380004000,SAS,South Asia,hn,51756168
BFA,all,,wb,3,fsec,National average,,53.84322,1419,1.3238695,,,1,1,Burkina Faso,BF,20903000,SSF,Sub-Saharan Africa,hn,5765590.5
PRY,all,,wb_dashboard,1,healthseeking,National average,,28.609398,210,,6,2020,0,,Paraguay,PY,7133000,LCN,Latin America and Caribbean,hn,1260828.3
MLI,all,,wb,4,fsec,National average,,14.991341,1901,.81898326,,,1,1,Mali,ML,20251000,SSF,Sub-Saharan Africa,hn,1763967.1
GHA,wealth,1,ipa,1,fsec,Poorest 20%,,55.657494,327,2.7514596,,,1,1,Ghana,GH,31073000,SSF,Sub-Saharan Africa,hn,1514432.8
KEN,location,1,wb,2,healthseeking,Urban,,6.4947586,470,1.1379235,,,1,1,Kenya,KE,53771000,SSF,Sub-Saharan Africa,hn,863805.56
KEN,location,1,wb,2,remotelearning,Urban,,25.004677,1529,1.1078119,,,1,1,Kenya,KE,53771000,SSF,Sub-Saharan Africa,ed,2471892.3
UGA,location,2,wb,2,fsec,Rural,,36.320087,1637,1.1890032,,,1,1,Uganda,UG,45741000,SSF,Sub-Saharan Africa,hn,6574736
KEN,location,2,wb,2,fsec,Rural,,35.269531,2047,1.0563344,,,1,1,Kenya,KE,53771000,SSF,Sub-Saharan Africa,hn,4346637
BFA,location,2,wb,2,fsec,Rural,,64.820854,564,2.0125461,,,1,,Burkina Faso,BF,20903000,SSF,Sub-Saharan Africa,hn,2758825.5
UGA,location,2,wb,1,healthseeking,Rural,,19.670998,1016,1.2477179,,,1,,Uganda,UG,45741000,SSF,Sub-Saharan Africa,hn,3681748.8
UZB,all,,wb_dashboard,3,govtsupport,National average,,93.879181,1517,,6,2020,0,,Uzbekistan,UZ,34074000,ECS,Europe and Central Asia,sp,10508928
NGA,location,2,wb,4,govtsupport,Rural,,95.961456,1083,.59847659,,,1,1,Nigeria,NG,206140000,SSF,Sub-Saharan Africa,sp,59988672
RWA,wealth,1,ipa,1,fsec,Poorest 20%,,63.276836,354,2.5656953,,,1,1,Rwanda,RW,12952000,SSF,Sub-Saharan Africa,hn,903260.75
ZMB,wealth,1,ipa,1,remotelearning,Poorest 20%,,51.442307,208,3.473794,,,1,1,Zambia,ZM,18384000,SSF,Sub-Saharan Africa,ed,811450.31
ETH,location,1,wb,2,healthseeking,Urban,,9.5507431,512,1.3002015,,,1,,Ethiopia,ET,114964000,SSF,Sub-Saharan Africa,hn,4614618.5
ZMB,wealth,1,ipa,1,govtsupport,Poorest 20%,,93.090912,275,1.5321059,,,1,1,Zambia,ZM,18384000,SSF,Sub-Saharan Africa,sp,1893378.1
MWI,all,,wb,3,govtsupport,National average,,98.929398,1624,.25545686,,,1,1,Malawi,MW,19130000,SSF,Sub-Saharan Africa,sp,9472675
PER,all,,yl,1,govtsupport,National average,,47.126129,15032,.40715286,,,1,1,Peru,PE,32972000,LCN,Latin America and Caribbean,sp,4527882.5
ETH,location,1,wb,3,remotelearning,Urban,,54.348835,892,1.6687151,,,1,,Ethiopia,ET,114964000,SSF,Sub-Saharan Africa,ed,13567844
ETH,all,,wb,2,remotelearning,National average,,67.811707,1835,1.090942,5,2020,1,,Ethiopia,ET,114964000,SSF,Sub-Saharan Africa,ed,34825432
PRY,all,,wb_dashboard,2,remotelearning,National average,,4.7528992,327,,7,2020,0,,Paraguay,PY,7133000,LCN,Latin America and Caribbean,ed,101355.66
KEN,wealth,5,wb,1,fsec,Richest 20%,,23.021851,226,2.8064842,,,1,,Kenya,KE,53771000,SSF,Sub-Saharan Africa,hn,313245.28
DOM,all,,wb_dashboard,1,remotelearning,National average,,6.0531235,456,,5,2020,0,,Dominican Republic,DO,10848000,LCN,Latin America and Caribbean,ed,848393.19
NGA,location,2,wb,5,remotelearning,Rural,,45.054657,593,2.0449111,,,1,1,Nigeria,NG,206140000,SSF,Sub-Saharan Africa,ed,19456138
GTM,all,,wb_dashboard,3,remotelearning,National average,,9.349823,445,,8,2020,0,1,Guatemala,GT,16918000,LCN,Latin America and Caribbean,ed,475275.16
RWA,wealth,1,ipa,1,remotelearning,Poorest 20%,,17.940201,301,2.2152269,,,1,1,Rwanda,RW,12952000,SSF,Sub-Saharan Africa,ed,292125.38
IND,all,,yl,1,schoolreturn,National average,,19.892792,1679,.97451317,,,1,1,India (Andhra Pradesh & Telangana),IN,1380004000,SAS,South Asia,ed,63669644
BFA,location,1,wb,2,fsec,Urban,,50.4561,893,1.6740541,,,1,,Burkina Faso,BF,20903000,SSF,Sub-Saharan Africa,hn,3400130.3
BFA,poor,1,wb,2,fsec,Poor,,60.641254,520,2.1444752,,,1,,Burkina Faso,BF,20903000,SSF,Sub-Saharan Africa,hn,2379588.8
PRY,all,,wb_dashboard,2,healthseeking,National average,,16.892967,117,,7,2020,0,,Paraguay,PY,7133000,LCN,Latin America and Caribbean,hn,414781.81
ETH,all,,wb,1,healthseeking,National average,,14.302208,570,1.4676759,4,2020,1,,Ethiopia,ET,114964000,SSF,Sub-Saharan Africa,hn,7693193
ZMB,wealth,5,ipa,1,healthseeking,Richest 20%,,8.5470085,234,1.8315892,,,1,1,Zambia,ZM,18384000,SSF,Sub-Saharan Africa,hn,150043.42
MWI,location,2,wb,3,govtsupport,Rural,,99.25705,1028,.26796314,,,1,1,Malawi,MW,19130000,SSF,Sub-Saharan Africa,sp,6016109
MEX,wealth,5,ipa,1,schoolreturn,Richest 20%,,14.634148,41,5.5885072,,,1,1,Mexico,MX,128933000,LCN,Latin America and Caribbean,ed,424721.56
SLE,all,,ipa,1,healthseeking,National average,,4.9192929,1301,.59982681,,,1,1,Sierra Leone,SL,7977000,SSF,Sub-Saharan Africa,hn,184870.38
ZWE,all,,wb_dashboard,1,govtsupport,National average,,34.304222,396,,6,2020,0,1,Zimbabwe,ZW,14863000,SSF,Sub-Saharan Africa,sp,2485239.8
MLI,poor,1,wb,1,remotelearning,Poor,,77.51635,327,2.3121779,,,1,1,Mali,ML,20251000,SSF,Sub-Saharan Africa,ed,1486665.1
ETH,location,1,wb,2,govtsupport,Urban,,99.834335,2167,3.6607482,,,1,,Ethiopia,ET,114964000,SSF,Sub-Saharan Africa,sp,42010964
PRY,all,,wb_dashboard,2,govtsupport,National average,,62.044163,486,,7,2020,0,,Paraguay,PY,7133000,LCN,Latin America and Caribbean,sp,1620073.8
ETH,location,2,wb,2,remotelearning,Rural,,75.217377,663,1.6780455,,,1,,Ethiopia,ET,114964000,SSF,Sub-Saharan Africa,ed,13956853
ETH,location,1,wb,4,fsec,Urban,,46.461926,2040,1.1045144,,,1,,Ethiopia,ET,114964000,SSF,Sub-Saharan Africa,hn,18432266
KEN,wealth,1,wb,2,govtsupport,Poorest 20%,,97.781212,310,.83792734,,,1,1,Kenya,KE,53771000,SSF,Sub-Saharan Africa,sp,1824958.4
NGA,location,1,wb,4,govtsupport,Urban,,95.632477,706,.7697078,,,1,1,Nigeria,NG,206140000,SSF,Sub-Saharan Africa,sp,38972124
CIV,all,,ipa,1,fsec,National average,,53.030304,1320,1.3741956,,,1,1,Cote d'Ivoire,CI,26378000,SSF,Sub-Saharan Africa,hn,6751531.5
MWI,location,1,wb,3,schoolreturn,Urban,,20.654045,432,1.9499629,,,1,1,Malawi,MW,19130000,SSF,Sub-Saharan Africa,ed,485646.81
PHL,all,,ipa,1,schoolreturn,National average,,24.482338,821,1.5015638,,,1,1,Philippines,PH,109581000,EAS,East Asia and Pacific,ed,7008202
ECU,all,,wb_dashboard,1,remotelearning,National average,,2.5859528,270,,5,2020,0,,Ecuador,EC,17643000,LCN,Latin America and Caribbean,ed,106013.66
NGA,location,2,wb,2,fsec,Rural,,84.086769,1103,1.1019255,,,1,,Nigeria,NG,206140000,SSF,Sub-Saharan Africa,hn,63302168
MLI,poor,0,wb,3,fsec,Non poor,,12.84632,1400,.89458865,,,1,,Mali,ML,20251000,SSF,Sub-Saharan Africa,hn,1113203.9
MLI,poor,0,wb,4,fsec,Non poor,,12.908007,1400,.89641654,,,1,1,Mali,ML,20251000,SSF,Sub-Saharan Africa,hn,1118549.3
PHL,location,2,ipa,1,fsec,Rural,,32.756634,867,1.5948337,,,1,1,Philippines,PH,109581000,EAS,East Asia and Pacific,hn,8035108.5
NGA,location,1,wb,2,govtsupport,Urban,,84.589211,717,1.3493153,,,1,,Nigeria,NG,206140000,SSF,Sub-Saharan Africa,sp,35008872
MWI,all,,wb,2,healthseeking,National average,,15.893173,724,1.3597271,,,1,,Malawi,MW,19130000,SSF,Sub-Saharan Africa,hn,1521801
GTM,all,,wb_dashboard,1,remotelearning,National average,,9.8280106,550,,5,2020,0,,Guatemala,GT,16918000,LCN,Latin America and Caribbean,ed,617461.69
NGA,all,,wb,1,fsec,National average,,100,1513,2.8551855e-16,4,2020,1,,Nigeria,NG,206140000,SSF,Sub-Saharan Africa,hn,103265280
ZMB,all,,ipa,1,govtsupport,National average,,97.169815,1272,.4651581,,,1,1,Zambia,ZM,18384000,SSF,Sub-Saharan Africa,sp,9141466
ETH,location,2,wb,2,govtsupport,Rural,,94.579834,940,.73887795,,,1,,Ethiopia,ET,114964000,SSF,Sub-Saharan Africa,sp,17264348
BFA,location,1,wb,1,remotelearning,Urban,,7.9534149,1152,.79752272,,,1,,Burkina Faso,BF,20903000,SSF,Sub-Saharan Africa,ed,524487.56
DJI,location,1,wb,1,healthseeking,Urban,,37.183674,262,2.9915216,,,1,1,Djibouti,DJ,988000,MEA,Middle East and North Africa,hn,126394.38
SLV,all,,wb_dashboard,1,healthseeking,National average,,25.826874,293,,6,2020,0,,El Salvador,SV,6486000,LCN,Latin America and Caribbean,hn,829758.44
PHL,location,1,ipa,1,schoolreturn,Urban,,27.681664,289,2.6364775,,,1,1,Philippines,PH,109581000,EAS,East Asia and Pacific,ed,2789334.5
COL,wealth,5,ipa,1,remotelearning,Richest 20%,,0,43,0,,,1,1,Colombia,CO,50883000,LCN,Latin America and Caribbean,ed,0
KEN,location,1,wb,2,govtsupport,Urban,,97.819389,2410,.29756594,,,1,1,Kenya,KE,53771000,SSF,Sub-Saharan Africa,sp,14193119
LAO,all,,wb_dashboard,1,remotelearning,National average,,75.703461,1328,,7,2020,0,1,Lao PDR,LA,7276000,EAS,East Asia and Pacific,ed,1481116.3
ETH,location,1,wb,2,remotelearning,Urban,,48.070286,1172,1.4600505,,,1,,Ethiopia,ET,114964000,SSF,Sub-Saharan Africa,ed,15767399
SLE,wealth,5,ipa,1,fsec,Richest 20%,,46.875,224,3.3417017,,,1,1,Sierra Leone,SL,7977000,SSF,Sub-Saharan Africa,hn,305889.25
MLI,location,1,wb,1,govtsupport,Urban,,98.293427,1207,.37295002,,,1,,Mali,ML,20251000,SSF,Sub-Saharan Africa,sp,7406350
ETH,location,1,wb,5,fsec,Urban,,43.950848,1993,1.1120479,,,1,1,Ethiopia,ET,114964000,SSF,Sub-Saharan Africa,hn,17034364
UGA,wealth,5,wb,2,healthseeking,Richest 20%,,9.0269089,118,2.6493118,,,1,1,Uganda,UG,45741000,SSF,Sub-Saharan Africa,hn,196225.34
ETH,location,1,wb,2,fsec,Urban,,52.123306,2161,1.0748582,,,1,,Ethiopia,ET,114964000,SSF,Sub-Saharan Africa,hn,21904740
CIV,all,,ipa,1,schoolreturn,National average,,20.030121,664,1.5543479,,,1,1,Cote d'Ivoire,CI,26378000,SSF,Sub-Saharan Africa,ed,1722642.3
ECU,all,,wb_dashboard,3,govtsupport,National average,,96.931007,853,,7,2020,0,1,Ecuador,EC,17643000,LCN,Latin America and Caribbean,sp,5589706
TCD,poor,0,wb,1,healthseeking,Non poor,,24.729141,645,1.7001021,,,1,1,Chad,TD,16426000,SSF,Sub-Saharan Africa,hn,1686871.1
KEN,wealth,5,wb,1,healthseeking,Richest 20%,,2.7595062,61,2.1147735,,,1,,Kenya,KE,53771000,SSF,Sub-Saharan Africa,hn,47633.918
NGA,location,1,wb,2,cashtransfer_delay,Urban,,8.1807575,95,2.8268299,,,1,,Nigeria,NG,206140000,SSF,Sub-Saharan Africa,sp,7791736
KEN,all,,wb,1,remotelearning,National average,,32.711555,2692,.9044072,6,2020,1,,Kenya,KE,53771000,SSF,Sub-Saharan Africa,ed,5693470
MLI,poor,0,wb,1,govtsupport,Non poor,,97.876831,1307,.39889684,,,1,,Mali,ML,20251000,SSF,Sub-Saharan Africa,sp,7985975.5
MDG,all,,wb_dashboard,1,healthseeking,National average,,11.553535,158,,6,2020,0,1,Madagascar,MG,27691000,SSF,Sub-Saharan Africa,hn,1494887.6
ETH,all,,wb,3,remotelearning,National average,,71.056847,1445,1.1934172,,,1,,Ethiopia,ET,114964000,SSF,Sub-Saharan Africa,ed,28736212
MEX,all,,ipa,1,cashtransfer_delay,National average,,32.065216,184,3.4501474,,,1,1,Mexico,MX,128933000,LCN,Latin America and Caribbean,sp,12842814
MEX,wealth,1,ipa,1,fsec,Poorest 20%,,48.314606,267,3.0639546,,,1,1,Mexico,MX,128933000,LCN,Latin America and Caribbean,hn,3893541.5
TCD,all,,wb,1,remotelearning,National average,,84.572113,1256,1.0196354,6,2020,1,1,Chad,TD,16426000,SSF,Sub-Saharan Africa,ed,4954279
BFA,poor,0,wb,3,fsec,Non poor,,52.40028,891,1.6740714,,,1,1,Burkina Faso,BF,20903000,SSF,Sub-Saharan Africa,hn,3523235.8
NGA,location,2,wb,1,healthseeking,Rural,,23.676125,438,2.0335028,,,1,,Nigeria,NG,206140000,SSF,Sub-Saharan Africa,hn,17877724
KEN,location,1,wb,1,remotelearning,Urban,,33.519211,1424,1.2513895,,,1,,Kenya,KE,53771000,SSF,Sub-Saharan Africa,ed,3086061
RWA,all,,ipa,1,govtsupport,National average,,88.611862,1484,.82490087,,,1,1,Rwanda,RW,12952000,SSF,Sub-Saharan Africa,sp,5270466
MEX,wealth,5,ipa,1,remotelearning,Richest 20%,,2.3809509,42,2.3809524,,,1,1,Mexico,MX,128933000,LCN,Latin America and Caribbean,ed,66121.383
RWA,location,1,ipa,1,fsec,Urban,,54.376163,1074,1.5205487,,,1,1,Rwanda,RW,12952000,SSF,Sub-Saharan Africa,hn,2354929.8
MLI,all,,wb,2,fsec,National average,,19.508467,1935,.90106976,7,2020,1,,Mali,ML,20251000,SSF,Sub-Saharan Africa,hn,2336533.5
NGA,all,,wb,2,healthseeking,National average,,14.365677,599,1.434288,6,2020,1,,Nigeria,NG,206140000,SSF,Sub-Saharan Africa,hn,14834756
IND,location,2,yl,1,schoolreturn,Rural,,20.14682,1226,1.1459913,,,1,1,India (Andhra Pradesh & Telangana),IN,1380004000,SAS,South Asia,ed,47085040
MLI,all,,wb,5,healthseeking,National average,,2.4579773,1346,.42220506,,,1,1,Mali,ML,20251000,SSF,Sub-Saharan Africa,hn,280344.38
TCD,location,1,wb,1,govtsupport,Urban,,93.388527,132,2.1710019,,,1,1,Chad,TD,16426000,SSF,Sub-Saharan Africa,sp,6605988
RWA,wealth,5,ipa,1,govtsupport,Richest 20%,,86.486488,259,2.1283762,,,1,1,Rwanda,RW,12952000,SSF,Sub-Saharan Africa,sp,897782.81
RWA,location,2,ipa,1,remotelearning,Rural,,23.07692,234,2.7601922,,,1,1,Rwanda,RW,12952000,SSF,Sub-Saharan Africa,ed,292125.28
GHA,all,,ipa,1,remotelearning,National average,,40.909092,990,1.5634072,,,1,1,Ghana,GH,31073000,SSF,Sub-Saharan Africa,ed,3798702
NGA,all,,wb,2,remotelearning,National average,,38.869038,1362,1.3213061,6,2020,1,,Nigeria,NG,206140000,SSF,Sub-Saharan Africa,ed,38551664
TCD,location,2,wb,1,fsec,Rural,,91.96965,492,1.2264467,,,1,1,Chad,TD,16426000,SSF,Sub-Saharan Africa,hn,2275005
BFA,poor,1,wb,2,healthseeking,Poor,,2.2864914,303,.86011916,,,1,,Burkina Faso,BF,20903000,SSF,Sub-Saharan Africa,hn,80637.516
MLI,location,2,wb,1,remotelearning,Rural,,77.578796,388,2.1200471,,,1,1,Mali,ML,20251000,SSF,Sub-Saharan Africa,ed,1765415.3
COL,all,,ipa,1,govtsupport,National average,,72.093025,1505,1.1565892,,,1,1,Colombia,CO,50883000,LCN,Latin America and Caribbean,sp,9949247
MNG,all,,wb_dashboard,1,healthseeking,National average,,8.2423553,444,,5,2020,0,1,Mongolia,MN,3278000,EAS,East Asia and Pacific,hn,95055.625
MLI,location,2,wb,4,fsec,Rural,,14.963543,639,1.4122431,,,1,1,Mali,ML,20251000,SSF,Sub-Saharan Africa,hn,591838.5
