countrycode,group,groupvalue,sr,round,indicator,grouplabel,regid,value,ss,se,month,year,disagreggation,last,country,iso2,sp_pop_totl,regioncode,regionname,theme,abs
MLI,all,,wb,3,healthseeking,National average,,3.4577789,1290,.5088982,,,1,,Mali,ML,20251000,SSF,Sub-Saharan Africa,hn,377968.72
MWI,location,1,wb,2,healthseeking,Urban,,26.216911,234,2.8813181,,,1,,Malawi,MW,19130000,SSF,Sub-Saharan Africa,hn,811346
ZMB,all,,ipa,1,healthseeking,National average,,9.2503986,1254,.81851578,,,1,1,Zambia,ZM,18384000,SSF,Sub-Saharan Africa,hn,870251.81
ETH,location,2,wb,4,govtsupport,Rural,,93.332825,838,.86223441,,,1,,Ethiopia,ET,114964000,SSF,Sub-Saharan Africa,sp,15188056
ETH,location,1,wb,4,healthseeking,Urban,,3.077095,608,.70095402,,,1,,Ethiopia,ET,114964000,SSF,Sub-Saharan Africa,hn,1765522.3
MLI,poor,1,wb,2,fsec,Poor,,25.411194,516,1.9184291,,,1,,Mali,ML,20251000,SSF,Sub-Saharan Africa,hn,811601.19
BFA,all,,wb,2,govtsupport,National average,,97.760719,1988,.3319234,6,2020,1,,Burkina Faso,BF,20903000,SSF,Sub-Saharan Africa,sp,10468324
TCD,location,2,wb,1,remotelearning,Rural,,89.676819,288,1.7959981,,,1,1,Chad,TD,16426000,SSF,Sub-Saharan Africa,ed,1204581.9
ZMB,all,,ipa,1,remotelearning,National average,,42.01878,852,1.692001,,,1,1,Zambia,ZM,18384000,SSF,Sub-Saharan Africa,ed,2714946
MLI,location,1,wb,3,govtsupport,Urban,,93.565758,1259,.69177812,,,1,1,Mali,ML,20251000,SSF,Sub-Saharan Africa,sp,7353856
RWA,wealth,5,ipa,1,healthseeking,Richest 20%,,8.8803091,259,1.7709663,,,1,1,Rwanda,RW,12952000,SSF,Sub-Saharan Africa,hn,92307.461
MWI,location,2,wb,2,govtsupport,Rural,,99.182953,1033,.28022143,,,1,,Malawi,MW,19130000,SSF,Sub-Saharan Africa,sp,6040857.5
SLE,all,,ipa,1,remotelearning,National average,,21.965317,865,1.4084963,,,1,1,Sierra Leone,SL,7977000,SSF,Sub-Saharan Africa,ed,570970.19
BFA,location,2,wb,3,govtsupport,Rural,,91.059845,679,1.0957742,,,1,1,Burkina Faso,BF,20903000,SSF,Sub-Saharan Africa,sp,3330374.8
NGA,location,2,wb,1,govtsupport,Rural,,88.437149,1195,.9254387,,,1,,Nigeria,NG,206140000,SSF,Sub-Saharan Africa,sp,61002360
SLE,location,2,ipa,1,fsec,Rural,,60.799999,125,4.3841357,,,1,1,Sierra Leone,SL,7977000,SSF,Sub-Saharan Africa,hn,221405.56
PER,all,,yl,1,remotelearning,National average,,10.904259,752,1.1373824,,,1,1,Peru,PE,32972000,LCN,Latin America and Caribbean,ed,738735.63
MLI,poor,1,wb,3,govtsupport,Poor,,94.141769,500,1.0512936,,,1,1,Mali,ML,20251000,SSF,Sub-Saharan Africa,sp,2938494
ETH,all,,wb,2,healthseeking,National average,,12.396576,723,1.2264301,5,2020,1,,Ethiopia,ET,114964000,SSF,Sub-Saharan Africa,hn,8458020
PHL,all,,ipa,1,fsec,National average,,35.400143,1387,1.2845076,,,1,1,Philippines,PH,109581000,EAS,East Asia and Pacific,hn,13891683
SLE,wealth,1,ipa,1,govtsupport,Poorest 20%,,86.120995,281,2.0661159,,,1,1,Sierra Leone,SL,7977000,SSF,Sub-Saharan Africa,sp,697432.88
NGA,location,2,wb,2,govtsupport,Rural,,87.6436,1103,.99132311,,,1,,Nigeria,NG,206140000,SSF,Sub-Saharan Africa,sp,55800708
SLE,wealth,5,ipa,1,healthseeking,Richest 20%,,3.6036036,222,1.2537264,,,1,1,Sierra Leone,SL,7977000,SSF,Sub-Saharan Africa,hn,23108.795
SLV,all,,wb_dashboard,1,govtsupport,National average,,51.464054,804,,6,2020,0,,El Salvador,SV,6486000,LCN,Latin America and Caribbean,sp,1419701.8
PER,location,1,yl,1,govtsupport,Urban,,49.727798,12307,.45071822,,,1,1,Peru,PE,32972000,LCN,Latin America and Caribbean,sp,3911722.8
IND,all,,yl,1,fsec,National average,,16.33548,21891,.24986978,,,1,1,India (Andhra Pradesh & Telangana),IN,1380004000,SAS,South Asia,hn,71376800
SLV,all,,wb_dashboard,2,healthseeking,National average,,17.221107,189,,7,2020,0,,El Salvador,SV,6486000,LCN,Latin America and Caribbean,hn,356890.56
HND,all,,wb_dashboard,2,remotelearning,National average,,16.987816,363,,7,2020,0,,Honduras,HN,9905000,LCN,Latin America and Caribbean,ed,467266.38
KEN,all,,wb,2,schoolreturn,National average,,4.4020996,2469,.41293475,,,1,1,Kenya,KE,53771000,SSF,Sub-Saharan Africa,ed,766188.63
MDG,all,,wb_dashboard,1,govtsupport,National average,,98.589409,1240,,6,2020,0,1,Madagascar,MG,27691000,SSF,Sub-Saharan Africa,sp,12756276
CIV,wealth,5,ipa,1,healthseeking,Richest 20%,,12.4,250,2.0886383,,,1,1,Cote d'Ivoire,CI,26378000,SSF,Sub-Saharan Africa,hn,299905.16
TCD,location,1,wb,1,remotelearning,Urban,,72.16819,968,1.4412204,,,1,1,Chad,TD,16426000,SSF,Sub-Saharan Africa,ed,3258253.3
NGA,location,1,wb,3,remotelearning,Urban,,30.278107,482,2.0949631,,,1,,Nigeria,NG,206140000,SSF,Sub-Saharan Africa,ed,10627668
MLI,poor,0,wb,2,fsec,Non poor,,16.028782,1419,.97426558,,,1,,Mali,ML,20251000,SSF,Sub-Saharan Africa,hn,1407832.1
KEN,wealth,5,wb,2,govtsupport,Richest 20%,,97.192406,64,2.0811973,,,1,1,Kenya,KE,53771000,SSF,Sub-Saharan Africa,sp,374496.84
TCD,poor,0,wb,1,govtsupport,Non poor,,93.757813,137,2.0744486,,,1,1,Chad,TD,16426000,SSF,Sub-Saharan Africa,sp,6883326
RWA,location,2,ipa,1,govtsupport,Rural,,93.283585,402,1.2499691,,,1,1,Rwanda,RW,12952000,SSF,Sub-Saharan Africa,sp,1502984.6
DOM,all,,wb_dashboard,1,govtsupport,National average,,59.46431,807,,5,2020,0,,Dominican Republic,DO,10848000,LCN,Latin America and Caribbean,sp,2556909
TCD,poor,1,wb,1,fsec,Poor,,92.626541,371,1.358634,,,1,1,Chad,TD,16426000,SSF,Sub-Saharan Africa,hn,1727754.8
MLI,poor,1,wb,4,fsec,Poor,,18.437544,501,1.7342499,,,1,1,Mali,ML,20251000,SSF,Sub-Saharan Africa,hn,571753.38
MWI,location,1,wb,3,fsec,Urban,,67.72139,596,1.916734,,,1,1,Malawi,MW,19130000,SSF,Sub-Saharan Africa,hn,2379761
MWI,location,1,wb,2,fsec,Urban,,67.664192,613,1.8908,,,1,,Malawi,MW,19130000,SSF,Sub-Saharan Africa,hn,2445572.8
CIV,wealth,1,ipa,1,govtsupport,Poorest 20%,,94.014084,284,1.4101604,,,1,1,Cote d'Ivoire,CI,26378000,SSF,Sub-Saharan Africa,sp,2563574.3
MWI,all,,wb,2,remotelearning,National average,,76.298729,1162,1.2480396,,,1,1,Malawi,MW,19130000,SSF,Sub-Saharan Africa,ed,5074814.5
CIV,all,,ipa,1,govtsupport,National average,,96.003014,1326,.53814667,,,1,1,Cote d'Ivoire,CI,26378000,SSF,Sub-Saharan Africa,sp,12222584
MLI,all,,wb,1,fsec,National average,,25.250299,1766,1.0341074,6,2020,1,,Mali,ML,20251000,SSF,Sub-Saharan Africa,hn,2760102.3
KEN,wealth,1,wb,2,healthseeking,Poorest 20%,,3.8560715,48,2.8085666,,,1,1,Kenya,KE,53771000,SSF,Sub-Saharan Africa,hn,52377.098
MEX,wealth,1,ipa,1,govtsupport,Poorest 20%,,88.014984,267,1.9913924,,,1,1,Mexico,MX,128933000,LCN,Latin America and Caribbean,sp,7098235
HND,all,,wb_dashboard,2,healthseeking,National average,,4.1689072,132,,7,2020,0,,Honduras,HN,9905000,LCN,Latin America and Caribbean,hn,152329.91
GHA,wealth,5,ipa,1,govtsupport,Richest 20%,,77.531647,316,2.3516347,,,1,1,Ghana,GH,31073000,SSF,Sub-Saharan Africa,sp,2021160.1
MWI,location,2,wb,2,fsec,Rural,,82.262199,1033,1.1890775,,,1,,Malawi,MW,19130000,SSF,Sub-Saharan Africa,hn,5010278.5
DOM,all,,wb_dashboard,3,healthseeking,National average,,20.586853,264,,8,2020,0,1,Dominican Republic,DO,10848000,LCN,Latin America and Caribbean,hn,808178.25
KEN,all,,wb,1,healthseeking,National average,,15.229858,1034,1.117942,6,2020,1,,Kenya,KE,53771000,SSF,Sub-Saharan Africa,hn,4456270
NGA,all,,wb,1,govtsupport,National average,,87.714691,1950,.74357247,4,2020,1,,Nigeria,NG,206140000,SSF,Sub-Saharan Africa,sp,98730408
MEX,all,,ipa,1,remotelearning,National average,,6.3636398,440,1.165045,,,1,1,Mexico,MX,128933000,LCN,Latin America and Caribbean,ed,1851400.9
VNM,all,,wb,1,healthseeking,National average,,3.8053131,1871,.44243541,6,2020,1,1,Vietnam,VN,97339000,EAS,East Asia and Pacific,hn,1008631.6
ETH,location,1,wb,1,remotelearning,Urban,,61.038094,1221,1.3961775,,,1,,Ethiopia,ET,114964000,SSF,Sub-Saharan Africa,ed,20857986
ETH,location,2,wb,3,healthseeking,Rural,,14.560638,167,2.7375693,,,1,,Ethiopia,ET,114964000,SSF,Sub-Saharan Africa,hn,2294698.3
NGA,location,2,wb,3,remotelearning,Rural,,52.079693,862,1.7025208,,,1,,Nigeria,NG,206140000,SSF,Sub-Saharan Africa,ed,32691730
TJK,all,,wb_dashboard,2,govtsupport,National average,,98.31324,661,,5,2020,0,1,Tajikistan,TJ,9538000,ECS,Europe and Central Asia,sp,3978616
VNM,all,,wb,1,govtsupport,National average,,96.001175,6213,.24859285,6,2020,1,1,Vietnam,VN,97339000,EAS,East Asia and Pacific,sp,25445952
TUN,all,,wb_dashboard,2,remotelearning,National average,,61.634335,412,,5,2020,0,1,Tunisia,TN,11819000,MEA,Middle East and North Africa,ed,1441994.4
ETH,location,2,wb,5,remotelearning,Rural,,84.93866,484,1.6274624,,,1,1,Ethiopia,ET,114964000,SSF,Sub-Saharan Africa,ed,11505528
KEN,location,1,wb,1,healthseeking,Urban,,15.980743,591,1.5085577,,,1,,Kenya,KE,53771000,SSF,Sub-Saharan Africa,hn,2672634.5
UGA,location,1,wb,2,govtsupport,Urban,,96.727043,562,.75121266,,,1,1,Uganda,UG,45741000,SSF,Sub-Saharan Africa,sp,6011280.5
UGA,location,2,wb,1,govtsupport,Rural,,98.852493,1634,.2635594,,,1,,Uganda,UG,45741000,SSF,Sub-Saharan Africa,sp,17861686
MLI,location,1,wb,2,fsec,Urban,,18.563852,1286,1.0846537,,,1,,Mali,ML,20251000,SSF,Sub-Saharan Africa,hn,1477668.4
CIV,wealth,5,ipa,1,fsec,Richest 20%,,52.589642,251,3.1580334,,,1,1,Cote d'Ivoire,CI,26378000,SSF,Sub-Saharan Africa,hn,1273145.9
ECU,all,,wb_dashboard,3,remotelearning,National average,,3.9862595,459,,7,2020,0,1,Ecuador,EC,17643000,LCN,Latin America and Caribbean,ed,277815.06
COL,wealth,5,ipa,1,fsec,Richest 20%,,34.408604,279,2.8492763,,,1,1,Colombia,CO,50883000,LCN,Latin America and Caribbean,hn,885006.38
CRI,all,,wb_dashboard,3,healthseeking,National average,,4.85215,210,,8,2020,0,1,Costa Rica,CR,5094000,LCN,Latin America and Caribbean,hn,62200.309
MWI,location,1,wb,1,fsec,Urban,,67.635948,617,1.8850805,,,1,,Malawi,MW,19130000,SSF,Sub-Saharan Africa,hn,2460503.5
NGA,location,1,wb,3,healthseeking,Urban,,18.645752,220,2.6318312,,,1,,Nigeria,NG,206140000,SSF,Sub-Saharan Africa,hn,7071801.5
UGA,location,1,wb,1,govtsupport,Urban,,95.396553,591,.86274385,,,1,,Uganda,UG,45741000,SSF,Sub-Saharan Africa,sp,6234519
DOM,all,,wb_dashboard,2,govtsupport,National average,,60.806801,673,,7,2020,0,,Dominican Republic,DO,10848000,LCN,Latin America and Caribbean,sp,2180482.5
KEN,location,1,wb,2,schoolreturn,Urban,,6.1574326,1268,.67532289,,,1,1,Kenya,KE,53771000,SSF,Sub-Saharan Africa,ed,550393.94
ECU,all,,wb_dashboard,1,healthseeking,National average,,48.312271,472,,5,2020,0,,Ecuador,EC,17643000,LCN,Latin America and Caribbean,hn,4161391.8
KEN,location,1,wb,1,fsec,Urban,,45.370152,2251,1.0495638,,,1,,Kenya,KE,53771000,SSF,Sub-Saharan Africa,hn,6148675.5
KEN,all,,wb,2,remotelearning,National average,,20.838554,2960,.74665189,,,1,1,Kenya,KE,53771000,SSF,Sub-Saharan Africa,ed,3988045
NGA,location,1,wb,2,healthseeking,Urban,,21.149307,189,2.9783237,,,1,,Nigeria,NG,206140000,SSF,Sub-Saharan Africa,hn,6891051
SLV,all,,wb_dashboard,2,remotelearning,National average,,7.2389603,402,,7,2020,0,,El Salvador,SV,6486000,LCN,Latin America and Caribbean,ed,112797.77
RWA,location,1,ipa,1,remotelearning,Urban,,16.247581,517,1.6239333,,,1,1,Rwanda,RW,12952000,SSF,Sub-Saharan Africa,ed,454417.19
RWA,location,2,ipa,1,fsec,Rural,,60.349129,401,2.4458616,,,1,1,Rwanda,RW,12952000,SSF,Sub-Saharan Africa,hn,975844.31
VNM,location,1,wb,1,fsec,Urban,,25.062496,1792,1.0240331,,,1,1,Vietnam,VN,97339000,EAS,East Asia and Pacific,hn,1916033.8
BGR,all,,wb_dashboard,1,remotelearning,National average,,0,308,,7,2020,0,1,Bulgaria,BG,6923000,ECS,Europe and Central Asia,ed,0
TCD,location,1,wb,1,fsec,Urban,,75.472847,1256,1.2144988,,,1,1,Chad,TD,16426000,SSF,Sub-Saharan Africa,hn,4765990
KEN,wealth,1,wb,1,remotelearning,Poorest 20%,,34.138908,518,2.0854223,,,1,,Kenya,KE,53771000,SSF,Sub-Saharan Africa,ed,1143352.5
MWI,location,1,wb,1,remotelearning,Urban,,69.879845,420,2.2412875,,,1,,Malawi,MW,19130000,SSF,Sub-Saharan Africa,ed,1679956.3
DJI,poor,1,wb,1,remotelearning,Poor,,14.365997,453,1.6497637,,,1,1,Djibouti,DJ,988000,MEA,Middle East and North Africa,ed,23739.357
BFA,location,1,wb,2,remotelearning,Urban,,20.136063,833,1.3902758,,,1,1,Burkina Faso,BF,20903000,SSF,Sub-Saharan Africa,ed,960171.13
UGA,wealth,1,wb,2,fsec,Poorest 20%,,51.259842,849,1.7164619,,,1,1,Uganda,UG,45741000,SSF,Sub-Saharan Africa,hn,4812466.5
BFA,all,,wb,3,healthseeking,National average,,4.5839157,1132,.62186754,,,1,1,Burkina Faso,BF,20903000,SSF,Sub-Saharan Africa,hn,603959.75
MLI,location,1,wb,5,healthseeking,Urban,,2.7430878,867,.55503601,,,1,1,Mali,ML,20251000,SSF,Sub-Saharan Africa,hn,201524.44
COL,wealth,1,ipa,1,govtsupport,Poorest 20%,,60.126583,316,2.7587967,,,1,1,Colombia,CO,50883000,LCN,Latin America and Caribbean,sp,1742264.4
SLE,location,2,ipa,1,govtsupport,Rural,,82.400002,125,3.4198661,,,1,1,Sierra Leone,SL,7977000,SSF,Sub-Saharan Africa,sp,296841.25
CIV,wealth,1,ipa,1,remotelearning,Poorest 20%,,27.188942,217,3.0273869,,,1,1,Cote d'Ivoire,CI,26378000,SSF,Sub-Saharan Africa,ed,555159
UZB,all,,wb_dashboard,3,healthseeking,National average,,20.602989,57,,6,2020,0,,Uzbekistan,UZ,34074000,ECS,Europe and Central Asia,hn,3642043.3
MLI,all,,wb,3,fsec,National average,,14.999564,1901,.81916821,,,1,,Mali,ML,20251000,SSF,Sub-Saharan Africa,hn,1764934.8
UZB,all,,wb_dashboard,5,healthseeking,National average,,26.518425,100,,8,2020,0,1,Uzbekistan,UZ,34074000,ECS,Europe and Central Asia,hn,8224087.5
NGA,all,,wb,3,healthseeking,National average,,13.612839,691,1.3054926,7,2020,1,,Nigeria,NG,206140000,SSF,Sub-Saharan Africa,hn,16216393
BFA,poor,1,wb,2,govtsupport,Poor,,97.708466,611,.60584867,,,1,,Burkina Faso,BF,20903000,SSF,Sub-Saharan Africa,sp,3215657.8
ZMB,wealth,5,ipa,1,schoolreturn,Richest 20%,,19.469025,113,3.7414899,,,1,1,Zambia,ZM,18384000,SSF,Sub-Saharan Africa,ed,149945.03
MLI,poor,0,wb,2,govtsupport,Non poor,,94.594162,1413,.60179192,,,1,,Mali,ML,20251000,SSF,Sub-Saharan Africa,sp,8344090
ZMB,all,,ipa,1,schoolreturn,National average,,21.413506,948,1.3330389,,,1,1,Zambia,ZM,18384000,SSF,Sub-Saharan Africa,ed,1383584
NGA,location,1,wb,1,fsec,Urban,,100,590,0,,,1,,Nigeria,NG,206140000,SSF,Sub-Saharan Africa,hn,40268680
RWA,all,,ipa,1,remotelearning,National average,,18.375496,751,1.4141622,,,1,1,Rwanda,RW,12952000,SSF,Sub-Saharan Africa,ed,746542.38
MLI,all,,wb,1,remotelearning,National average,,75.372429,1249,1.2195785,6,2020,1,1,Mali,ML,20251000,SSF,Sub-Saharan Africa,ed,5521372.5
VNM,all,,wb,1,fsec,National average,,33.216702,6213,.59758055,6,2020,1,1,Vietnam,VN,97339000,EAS,East Asia and Pacific,hn,8804378
ZMB,all,,ipa,1,fsec,National average,,47.682117,906,1.6602694,,,1,1,Zambia,ZM,18384000,SSF,Sub-Saharan Africa,hn,4485801
ZMB,wealth,1,ipa,1,schoolreturn,Poorest 20%,,21.428574,224,2.7477455,,,1,1,Zambia,ZM,18384000,SSF,Sub-Saharan Africa,ed,327152.84
MWI,all,,wb,1,fsec,National average,,83.285507,1729,.8975516,6,2020,1,,Malawi,MW,19130000,SSF,Sub-Saharan Africa,hn,8490352
BFA,all,,wb,3,govtsupport,National average,,93.154335,2013,.56298316,,,1,1,Burkina Faso,BF,20903000,SSF,Sub-Saharan Africa,sp,10100509
PNG,all,,wb_dashboard,1,healthseeking,National average,,21.046753,1258,,6,2020,0,1,Papua New Guinea,PG,8947000,EAS,East Asia and Pacific,hn,780426.88
TCD,poor,1,wb,1,govtsupport,Poor,,99.239098,27,1.7041942,,,1,1,Chad,TD,16426000,SSF,Sub-Saharan Africa,sp,1435875.9
KEN,location,2,wb,2,govtsupport,Rural,,98.508499,2047,.26797605,,,1,1,Kenya,KE,53771000,SSF,Sub-Saharan Africa,sp,12140243
MWI,location,2,wb,2,remotelearning,Rural,,79.641724,745,1.4762311,,,1,1,Malawi,MW,19130000,SSF,Sub-Saharan Africa,ed,3396203.3
MEX,wealth,5,ipa,1,healthseeking,Richest 20%,,35.135136,259,2.9721158,,,1,1,Mexico,MX,128933000,LCN,Latin America and Caribbean,hn,2752830.3
CIV,wealth,5,ipa,1,govtsupport,Richest 20%,,96.047432,253,1.2273893,,,1,1,Cote d'Ivoire,CI,26378000,SSF,Sub-Saharan Africa,sp,2333140.8
PHL,location,1,ipa,1,govtsupport,Urban,,13.435699,521,1.4955395,,,1,1,Philippines,PH,109581000,EAS,East Asia and Pacific,sp,1977632.6
ZMB,wealth,1,ipa,1,healthseeking,Poorest 20%,,6.4885497,262,1.5247054,,,1,1,Zambia,ZM,18384000,SSF,Sub-Saharan Africa,hn,127536.9
DJI,poor,0,wb,1,healthseeking,Non poor,,37.627125,104,4.7734218,,,1,1,Djibouti,DJ,988000,MEA,Middle East and North Africa,hn,50770.16
NGA,location,1,wb,3,govtsupport,Urban,,93.626724,703,.92196119,,,1,,Nigeria,NG,206140000,SSF,Sub-Saharan Africa,sp,37992612
ZMB,wealth,5,ipa,1,remotelearning,Richest 20%,,38.383839,99,4.9125671,,,1,1,Zambia,ZM,18384000,SSF,Sub-Saharan Africa,ed,288178.63
NGA,location,1,wb,4,remotelearning,Urban,,31.327484,541,1.9959855,,,1,,Nigeria,NG,206140000,SSF,Sub-Saharan Africa,ed,12341985
LAO,all,,wb_dashboard,1,healthseeking,National average,,2.7624283,388,,7,2020,0,1,Lao PDR,LA,7276000,EAS,East Asia and Pacific,hn,76059.539
GTM,all,,wb_dashboard,1,healthseeking,National average,,19.297279,178,,5,2020,0,,Guatemala,GT,16918000,LCN,Latin America and Caribbean,hn,1626156.3
COD,all,,wb_dashboard,1,remotelearning,National average,,46.834801,732,,6,2020,0,1,"Congo, Dem Rep",CD,89561000,SSF,Sub-Saharan Africa,ed,14566279
COD,all,,wb_dashboard,1,healthseeking,National average,,12.598785,543,,6,2020,0,1,"Congo, Dem Rep",CD,89561000,SSF,Sub-Saharan Africa,hn,5912464
UZB,all,,wb_dashboard,3,remotelearning,National average,,27.469894,851,,6,2020,0,1,Uzbekistan,UZ,34074000,ECS,Europe and Central Asia,ed,2124232
PRY,all,,wb_dashboard,1,govtsupport,National average,,57.67654,715,,6,2020,0,,Paraguay,PY,7133000,LCN,Latin America and Caribbean,sp,2215658.5
HND,all,,wb_dashboard,1,govtsupport,National average,,70.987679,807,,6,2020,0,,Honduras,HN,9905000,LCN,Latin America and Caribbean,sp,4017739.3
NGA,location,2,wb,4,schoolreturn,Rural,,5.3391266,633,.89425617,,,1,1,Nigeria,NG,206140000,SSF,Sub-Saharan Africa,ed,2255057
CIV,wealth,1,ipa,1,healthseeking,Poorest 20%,,12.411347,282,1.9668907,,,1,1,Cote d'Ivoire,CI,26378000,SSF,Sub-Saharan Africa,hn,338602.63
NGA,location,1,wb,2,remotelearning,Urban,,27.485992,491,2.0168269,,,1,,Nigeria,NG,206140000,SSF,Sub-Saharan Africa,ed,9827774
SLE,all,,ipa,1,govtsupport,National average,,91.871162,1304,.75706214,,,1,1,Sierra Leone,SL,7977000,SSF,Sub-Saharan Africa,sp,3452580.8
DJI,all,,wb,1,fsec,National average,,25.663637,1486,1.1334348,7,2020,1,1,Djibouti,DJ,988000,MEA,Middle East and North Africa,hn,87235.578
MLI,poor,1,wb,4,healthseeking,Poor,,3.8285294,336,1.0483756,,,1,,Mali,ML,20251000,SSF,Sub-Saharan Africa,hn,109003.43
TCD,location,1,wb,1,healthseeking,Urban,,19.58979,594,1.6298331,,,1,1,Chad,TD,16426000,SSF,Sub-Saharan Africa,hn,1230635.3
COL,wealth,1,ipa,1,fsec,Poorest 20%,,72.292992,314,2.5297101,,,1,1,Colombia,CO,50883000,LCN,Latin America and Caribbean,hn,2092671.3
IDN,all,,wb_dashboard,1,govtsupport,National average,,29.541168,4338,,5,2020,0,1,Indonesia,ID,273524000,EAS,East Asia and Pacific,sp,25090434
ETH,location,1,wb,4,govtsupport,Urban,,97.940125,2040,.31455165,,,1,,Ethiopia,ET,114964000,SSF,Sub-Saharan Africa,sp,38798472
COL,all,,ipa,1,fsec,National average,,58.583836,1497,1.2735267,,,1,1,Colombia,CO,50883000,LCN,Latin America and Caribbean,hn,8084902
PER,location,2,yl,1,schoolreturn,Rural,,26.103645,521,1.9260184,,,1,1,Peru,PE,32972000,LCN,Latin America and Caribbean,ed,383263.38
PER,location,1,yl,1,fsec,Urban,,16.494347,12380,.33356673,,,1,1,Peru,PE,32972000,LCN,Latin America and Caribbean,hn,1293142.4
NGA,location,2,wb,3,healthseeking,Rural,,11.769936,471,1.4864365,,,1,,Nigeria,NG,206140000,SSF,Sub-Saharan Africa,hn,9557020
GAB,all,,wb_dashboard,1,remotelearning,National average,,51.568695,715,,5,2020,0,1,Gabon,GA,2226000,SSF,Sub-Saharan Africa,ed,323866.38
MWI,all,,wb,2,govtsupport,National average,,98.977318,1644,.24821027,,,1,,Malawi,MW,19130000,SSF,Sub-Saharan Africa,sp,9593978
IND,location,1,yl,1,fsec,Urban,,10.425048,5717,.4041906,,,1,1,India (Andhra Pradesh & Telangana),IN,1380004000,SAS,South Asia,hn,11896133
ETH,location,1,wb,1,govtsupport,Urban,,96.048416,2271,.40890071,,,1,,Ethiopia,ET,114964000,SSF,Sub-Saharan Africa,sp,42357576
KEN,wealth,5,wb,2,schoolreturn,Richest 20%,,17.480011,25,7.7525544,,,1,1,Kenya,KE,53771000,SSF,Sub-Saharan Africa,ed,30806.08
HND,all,,wb_dashboard,3,remotelearning,National average,,14.342781,348,,8,2020,0,1,Honduras,HN,9905000,LCN,Latin America and Caribbean,ed,378209.97
RWA,all,,ipa,1,cashtransfer_delay,National average,,21.73913,46,6.1487546,,,1,1,Rwanda,RW,12952000,SSF,Sub-Saharan Africa,sp,1293002.4
VNM,all,,wb,1,remotelearning,National average,,21.159264,3356,.70514643,6,2020,1,1,Vietnam,VN,97339000,EAS,East Asia and Pacific,ed,3938459.5
PER,location,1,yl,1,remotelearning,Urban,,11.009171,545,1.3419939,,,1,1,Peru,PE,32972000,LCN,Latin America and Caribbean,ed,540537.94
TCD,location,2,wb,1,govtsupport,Rural,,96.739304,32,3.1898913,,,1,1,Chad,TD,16426000,SSF,Sub-Saharan Africa,sp,1658911.6
PRY,all,,wb_dashboard,3,govtsupport,National average,,78.71582,457,,8,2020,0,1,Paraguay,PY,7133000,LCN,Latin America and Caribbean,sp,1932750.5
SLE,location,1,ipa,1,fsec,Urban,,52.188843,1165,1.464121,,,1,1,Sierra Leone,SL,7977000,SSF,Sub-Saharan Africa,hn,1771244.5
ETH,location,2,wb,2,fsec,Rural,,57.254131,940,1.6144243,,,1,,Ethiopia,ET,114964000,SSF,Sub-Saharan Africa,hn,10466128
MLI,all,,wb,2,govtsupport,National average,,94.817696,1927,.50510079,7,2020,1,,Mali,ML,20251000,SSF,Sub-Saharan Africa,sp,11406268
MLI,poor,1,wb,1,fsec,Poor,,25.06415,448,2.0498285,,,1,,Mali,ML,20251000,SSF,Sub-Saharan Africa,hn,695022.63
ZMB,wealth,1,ipa,1,fsec,Poorest 20%,,56.701031,194,3.5666099,,,1,1,Zambia,ZM,18384000,SSF,Sub-Saharan Africa,hn,1142217.9
MLI,location,1,wb,3,healthseeking,Urban,,5.005043,846,.75011128,,,1,,Mali,ML,20251000,SSF,Sub-Saharan Africa,hn,358795.56
ETH,location,2,wb,5,healthseeking,Rural,,6.0051651,246,1.5178586,,,1,1,Ethiopia,ET,114964000,SSF,Sub-Saharan Africa,hn,1394083.4
MWI,all,,wb,3,fsec,National average,,77.273033,1624,1.0402206,,,1,1,Malawi,MW,19130000,SSF,Sub-Saharan Africa,hn,7399037.5
UZB,all,,wb_dashboard,2,govtsupport,National average,,90.978058,1517,,5,2020,0,,Uzbekistan,UZ,34074000,ECS,Europe and Central Asia,sp,10184174
KEN,all,,wb,1,fsec,National average,,45.085411,4061,.7809062,6,2020,1,,Kenya,KE,53771000,SSF,Sub-Saharan Africa,hn,11023129
GTM,all,,wb_dashboard,3,healthseeking,National average,,10.860039,170,,8,2020,0,1,Guatemala,GT,16918000,LCN,Latin America and Caribbean,hn,874030.25
KEN,all,,wb,2,govtsupport,National average,,98.262802,4457,.19572507,,,1,1,Kenya,KE,53771000,SSF,Sub-Saharan Africa,sp,26367420
COL,all,,ipa,1,cashtransfer_delay,National average,,24.271845,309,2.4428945,,,1,1,Colombia,CO,50883000,LCN,Latin America and Caribbean,sp,3349652.5
UGA,wealth,1,wb,2,govtsupport,Poorest 20%,,93.662704,849,.83663756,,,1,1,Uganda,UG,45741000,SSF,Sub-Saharan Africa,sp,8793407
HND,all,,wb_dashboard,3,healthseeking,National average,,8.4725266,145,,8,2020,0,1,Honduras,HN,9905000,LCN,Latin America and Caribbean,hn,340071.28
MLI,location,2,wb,3,fsec,Rural,,14.994522,639,1.4134467,,,1,,Mali,ML,20251000,SSF,Sub-Saharan Africa,hn,593063.75
CRI,all,,wb_dashboard,3,govtsupport,National average,,67.427727,658,,8,2020,0,1,Costa Rica,CR,5094000,LCN,Latin America and Caribbean,sp,890005.38
